,B,T0y,BCy,ly
79,-4210.0,0.13195475479448127,0.10034304726522501,0.04451691238549564
80,-4200.0,0.13194647113821176,0.10017265191151815,0.044558922682627185
81,-4190.0,0.13193813032315993,0.10000079184130377,0.044601222644856345
82,-4180.0,0.13192973182750248,0.09982758911429086,0.04464381491414999
83,-4170.0,0.13192127512350998,0.09965267755135251,0.04468670216234247
84,-4160.0,0.1319127596774675,0.0994764233316156,0.04472988709153708
85,-4150.0,0.1319041849495936,0.09929870439537121,0.04477337243451379
86,-4140.0,0.13189555039395864,0.09911939868291034,0.04481716095514335
87,-4130.0,0.13188685545840134,0.098938506194233,0.04486125544880777
88,-4120.0,0.13187809958444408,0.09875614898904814,0.044905658742827426
89,-4110.0,0.13186928220720728,0.09857232706735579,0.04495037369689484
